reason,uuid,survivor_uuid,kind,net_code,net,layer_or_span,width_or_size_mm,start_or_position_mm,end_mm,drill_mm,locked
exact_duplicate,905bf47c-d62c-4299-83f0-aad44b5da10d,81ef4444-dc43-4fbf-bada-e08fe72bd33d,segment,79,FUEL_PUMP_CONTROL,B.Cu,1.2,"[35.8, 31.7]","[35.5, 31.7]",,False
exact_duplicate,971c7d3b-000d-4f8a-8b36-539decadb2c5,5bc9a490-90ef-43af-bc3e-bdbba15668d0,segment,83,IAC,F.Cu,1.2,"[39.1, 37.0]","[40.2, 35.9]",,False
exact_duplicate,97fd21e6-221c-4c0e-88dc-c9dbb72c021b,78569354-431c-464e-b27a-7a81e725fd15,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[66.1, 15.7]","[66.2, 15.8]",,False
exact_duplicate,9d566989-d9c3-42c5-854e-f62660c9bb51,1334ede1-fa32-4ec0-9b18-95b43ff6a8fc,segment,176,VCC_5,B.Cu,0.6,"[76.9, 107.0]","[76.9, 107.1]",,False
exact_duplicate,9e315a82-ce91-459b-83e1-fa146aeb1c80,7e01f665-d35b-4e2c-903f-63fb3e8bb1c6,segment,116,MIL,In2.Cu,1.2,"[23.3, 148.2]","[23.2, 148.1]",,False
exact_duplicate,9e785da2-b5de-42f9-ad15-f56f8faf8895,6377639c-ba78-4f6d-98d6-54712f5693c5,segment,170,TRANS_EPC,B.Cu,1.2,"[77.7, 40.5]","[77.6, 40.5]",,False
exact_duplicate,9edde57e-a73b-4ed6-967e-a4a2eecc407a,21a91ab2-88b2-4939-8554-1573a0fa76c4,segment,83,IAC,F.Cu,1.2,"[38.9, 37.4]","[38.9, 37.3]",,False
exact_duplicate,9f7f4413-07d3-4545-a3fb-98430f030792,81195484-d4d5-4ba9-afbf-acd6f24f5e54,segment,179,VREF_5,In2.Cu,0.6,"[84.6, 22.0]","[84.7, 22.1]",,False
exact_duplicate,a23b8828-e7ff-489d-92e5-b961bbfd80ab,a0cd20db-deb8-4e4d-a176-4f5f4ff6518b,segment,172,TRANS_SS1,In4.Cu,1.2,"[48.3, 129.8]","[48.4, 129.9]",,False
exact_duplicate,a3aef54a-3a52-4e74-a16f-df280704596b,7f33ff99-9a12-4f7f-ba7c-241e0b049da2,segment,87,INJECTOR_1,In1.Cu,2.0,"[32.3, 128.3]","[32.3, 128.4]",,False
exact_duplicate,a3e964a9-5011-40f8-a2e8-d21dfbe398b2,8f78161c-ee5d-4fd4-a411-de3ab08517bb,segment,87,INJECTOR_1,In1.Cu,2.0,"[32.2, 128.2]","[32.3, 128.3]",,False
